worker_type,spouse_type,birth_yr,claim_age,death_age,pv_taxes,pv_benefits,ben_tax_ratio
medium,medium,2005,65,88,927608.278341223,982779.4103271503,1.05947675681009
medium,medium,2010,65,88,1003734.2265008857,1057458.7644343097,1.0535246647120053
medium,none,1930,65,83,297583.3977798087,305312.0622501867,1.025971423567442
medium,none,1935,65,84,378020.32354419044,378082.73741563543,1.0001651071848725
medium,none,1940,65,84,415515.8352990287,454958.8020624632,1.0949253034726079
medium,none,1945,65,84,435366.3615135059,477249.7649053477,1.0962026630772266
medium,none,1950,65,85,415505.40046429797,496153.75770420925,1.194097013299448
medium,none,1955,65,85,393568.4077037071,526192.7894700709,1.3369792370789282
medium,none,1960,65,86,360371.84572178626,472636.58831144223,1.3115247318080625
medium,none,1965,65,86,384007.1791656473,506008.7617738187,1.3177065149491494
medium,none,1970,65,86,418789.36089644535,545552.4892905909,1.3026894669024087
medium,none,1975,65,86,471588.76538439083,591647.7399660646,1.2545840431203106
medium,none,1980,65,87,537274.9920887252,662174.9295015777,1.2324692927308751
medium,none,1985,65,87,611058.7411397547,713918.9328221569,1.1683311026539709
medium,none,1990,65,87,690690.7212180474,767173.26053591,1.1107334107268505
medium,none,1995,65,88,772338.6647884232,850718.3069317215,1.1014835145729365
medium,none,2000,65,88,852091.060309993,913697.7317177305,1.0723005724122077
medium,none,2005,65,88,927608.278341223,982779.4103271503,1.05947675681009
medium,none,2010,65,88,1003734.2265008857,1057458.7644343097,1.0535246647120053
very_low,high,1930,65,83,255084.1417197714,292371.4596490762,1.146176542680837
very_low,high,1935,65,84,337280.9996499025,369123.89362693916,1.0944105775602229
very_low,high,1940,65,84,381464.29610489146,450089.49391244963,1.179899399519918
very_low,high,1945,65,84,402700.6579184639,472658.2908300118,1.1737211785874768
very_low,high,1950,65,85,384332.4234703932,491720.56361268647,1.2794147295006086
very_low,high,1955,65,85,364045.0967276577,521438.64287701633,1.4323462877652897
very_low,high,1960,65,86,333336.92026355333,466089.7607143832,1.3982542358220285
very_low,high,1965,65,86,355198.3391412876,499987.5409672073,1.4076291634019344
very_low,high,1970,65,86,387368.7153654119,539143.3969140303,1.391809342180477
very_low,high,1975,65,86,436204.7768169957,584796.9935521955,1.3406478439311997
very_low,high,1980,65,87,496960.3576545247,654523.517715924,1.3170537803156797
very_low,high,1985,65,87,565205.9917843458,705728.9138858478,1.248622491877472
very_low,high,1990,65,87,638863.2732185168,758328.5256528433,1.1869965882253253
very_low,high,1995,65,88,714386.3290626166,840948.2370193976,1.1771617160183474
very_low,high,2000,65,88,788157.7231717461,903200.3604081653,1.14596397885116
very_low,high,2005,65,88,858009.870897545,971459.1362600189,1.1322237298316826
very_low,high,2010,65,88,928425.4848722508,1045286.2176793255,1.125869802920322
very_low,low,1930,65,83,104139.12800124651,163055.93568478728,1.565750922005373
very_low,low,1935,65,84,132287.41889751214,201795.18276629614,1.5254298893127107
very_low,low,1940,65,84,145411.35817471167,243246.13446682086,1.672813853884514
very_low,low,1945,65,84,152360.39957106335,254968.01090843347,1.6734532833087792
very_low,low,1950,65,85,145411.49606401366,265193.5925541257,1.8237457129069155
very_low,low,1955,65,85,137735.92431649967,281332.46730423777,2.0425496739526827
very_low,low,1960,65,86,126118.74828953168,252129.9884284882,1.999147564085172
very_low,low,1965,65,86,134389.71950588594,270335.71943347086,2.0115803532250904
very_low,low,1970,65,86,146562.307535853,291505.43804346246,1.9889522957473398
very_low,low,1975,65,86,165037.8278040594,316259.6644124394,1.9162859122692624
very_low,low,1980,65,87,188024.8040590991,353975.14303128805,1.8825981221074866
very_low,low,1985,65,87,213844.5951787331,381673.88061299676,1.7848189256033828
very_low,low,1990,65,87,241712.4981459323,410094.03826536884,1.6966190884253627
very_low,low,1995,65,88,270286.25863910053,454814.96915803605,1.6827158415231434
very_low,low,2000,65,88,298197.68681547476,488482.8909307582,1.6381176398361275
very_low,low,2005,65,88,324626.3773045297,525441.7907192947,1.6186047328692008
very_low,low,2010,65,88,351268.0619257655,565326.1680523483,1.6093867599378289
very_low,max,1930,65,83,303817.0372223463,320471.191400978,1.0548163932177494
very_low,max,1935,65,84,410880.7170863824,412441.34873537824,1.0037982596507875
very_low,max,1940,65,84,485116.87104894966,515793.2675648418,1.0632350642630954
very_low,max,1945,65,84,550410.0323777276,558114.1934186732,1.0139971304804607
very_low,max,1950,65,85,567273.9906806677,594250.7822940261,1.0475551357131483
very_low,max,1955,65,85,575077.5610466729,634506.0107970852,1.1033398862620363
very_low,max,1960,65,86,544881.1677937625,568297.6309827338,1.0429753578817655
very_low,max,1965,65,86,578259.2783152914,610295.4464211592,1.055401044664951
very_low,max,1970,65,86,624406.0954849756,658528.7853859575,1.0546482331734426
very_low,max,1975,65,86,694700.7128528699,713797.5761873021,1.0274893389068347
very_low,max,1980,65,87,788067.4090897145,799505.0659435368,1.0145135514067682
very_low,max,1985,65,87,892191.084318827,861336.5407015274,0.9654171128140598
very_low,max,1990,65,87,1008374.1530904338,924434.1057877154,0.9167570419715128
very_low,max,1995,65,88,1134032.6169368615,1024199.0285782176,0.903147769545363
very_low,max,2000,65,88,1264121.660068862,1099773.77347084,0.8699904512441712
very_low,max,2005,65,88,1387486.2065241265,1183498.7762260952,0.852980570661634
very_low,max,2010,65,88,1508487.5483212161,1273683.9840091849,0.84434504310404
very_low,medium,1930,65,83,185979.80048110994,228870.75458748027,1.2306215728558478
very_low,medium,1935,65,84,236247.86614460955,283471.1742605189,1.1998888239143017
very_low,medium,1940,65,84,259680.23247519636,341024.30458221654,1.3132470705670285
very_low,medium,1945,65,84,272085.6691862575,357638.1653758296,1.3144322023480286
very_low,medium,1950,65,85,259673.28364884754,371862.5989443705,1.432040268906658
very_low,medium,1955,65,85,245964.5338374881,394346.00116075913,1.603263669799275
very_low,medium,1960,65,86,225218.78195028525,354068.0271153923,1.572107015451088
very_low,medium,1965,65,86,239991.13033309346,379084.89007937984,1.5795787517365016
very_low,medium,1970,65,86,261729.81868919544,408731.4625365153,1.5616541691104924
very_low,medium,1975,65,86,294727.2833250813,443265.8338923929,1.503986427355879
