worker_type,spouse_type,birth_yr,claim_age,irr_scheduled,irr_payable
low,high,2010,65,0.026510614518671205,0.015278416261397969
low,max,1930,65,0.034585397180571624,0.034585397180571624
low,max,1935,65,0.03009094030371525,0.03009094030371525
low,max,1940,65,0.027867165008210126,0.027867165008210126
low,max,1945,65,0.021944383597347548,0.021944383597347548
low,max,1950,65,0.019494174926596882,0.01893155879055048
low,max,1955,65,0.018666531095513222,0.016494242681854513
low,max,1960,65,0.01580757352905973,0.011627687264511855
low,max,1965,65,0.015835800287306467,0.009651283328842785
low,max,1970,65,0.016454896107982474,0.008370552794226362
low,max,1975,65,0.016906374357422167,0.008355919644849311
low,max,1980,65,0.018284130871792356,0.009325925314764642
low,max,1985,65,0.018513612110493925,0.008938054231893774
low,max,1990,65,0.01851826770970671,0.008304066395553053
low,max,1995,65,0.019440661368332463,0.008857150590806908
low,max,2000,65,0.019259863076605387,0.008372504276153141
low,max,2005,65,0.01904201639869144,0.008090052132251219
low,max,2010,65,0.018933669384743067,0.008081596878533
medium,none,1930,65,0.03680241080072154,0.03680241080072154
medium,none,1935,65,0.033385078814831826,0.033385078814831826
medium,none,1940,65,0.03220483683527179,0.03220483683527179
medium,none,1945,65,0.027602978748797895,0.027602978748797895
medium,none,1950,65,0.026009119255706453,0.02548717857956395
medium,none,1955,65,0.026273688962732578,0.02420541692801841
medium,none,1960,65,0.024082072545087322,0.019983532382799617
medium,none,1965,65,0.02431985432097946,0.018094564344944407
medium,none,1970,65,0.025099411289940594,0.016793919258617826
medium,none,1975,65,0.025669042513357023,0.016884599316696666
medium,none,1980,65,0.027105698160768774,0.017872992182684726
medium,none,1985,65,0.027264064160974866,0.017410073613349827
medium,none,1990,65,0.027166538711993593,0.01667627548789282
medium,none,1995,65,0.027955764854289883,0.017081356973530328
medium,none,2000,65,0.027755086162582918,0.016563921256009816
medium,none,2005,65,0.027621871108168678,0.016327395723084205
medium,none,2010,65,0.027561993611299844,0.01634585414953465
medium,very_low,1930,65,0.04335272586958261,0.04335272586958261
medium,very_low,1935,65,0.039688782003373356,0.039688782003373356
medium,very_low,1940,65,0.03838926221831995,0.03838926221831995
medium,very_low,1945,65,0.03375862783397919,0.03375862783397919
medium,very_low,1950,65,0.032029361360671776,0.03154427583988499
medium,very_low,1955,65,0.03223155104820392,0.030280990264366994
medium,very_low,1960,65,0.029922821985198186,0.02599509423003393
medium,very_low,1965,65,0.0301200920153839,0.024057922305441373
medium,very_low,1970,65,0.030884450933351393,0.022687730647567687
medium,very_low,1975,65,0.03145205359906045,0.02278871556939753
medium,very_low,1980,65,0.032831921812582876,0.023724036842628412
medium,very_low,1985,65,0.0330170193790379,0.023295276247695063
medium,very_low,1990,65,0.03293347125102138,0.022578287788584745
medium,very_low,1995,65,0.033643391661432535,0.02289054444834853
medium,very_low,2000,65,0.033436293403170204,0.022358071563112595
medium,very_low,2005,65,0.03329306808038432,0.022097443820708343
medium,very_low,2010,65,0.033225666837006375,0.022096802905867265
medium,low,1930,65,0.040487437193468215,0.040487437193468215
medium,low,1935,65,0.03691805756605136,0.03691805756605136
medium,low,1940,65,0.03569408515980863,0.03569408515980863
medium,low,1945,65,0.03107531529891174,0.03107531529891174
medium,low,1950,65,0.02940493034593487,0.02890413692448941
medium,low,1955,65,0.029639140358390065,0.027638298364533395
medium,low,1960,65,0.02736559167524507,0.02336405686572494
medium,low,1965,65,0.027594358485928134,0.021461957066385057
medium,low,1970,65,0.028365520367916015,0.020122450481283062
medium,low,1975,65,0.028939150288449712,0.02022423730872113
medium,low,1980,65,0.030342400896101563,0.021180936042745426
medium,low,1985,65,0.03051655972901972,0.020738035524408727
medium,low,1990,65,0.030425890580531117,0.020012679126843482
medium,low,1995,65,0.03117056580331943,0.020365620272115827
medium,low,2000,65,0.03096575031774236,0.01983908214329272
medium,low,2005,65,0.030826965610966213,0.019588885941543663
medium,low,2010,65,0.030762193913246125,0.019595859551781905
medium,medium,1930,65,0.03680241080072154,0.03680241080072154
medium,medium,1935,65,0.033385078814831826,0.033385078814831826
medium,medium,1940,65,0.03220483683527179,0.03220483683527179
medium,medium,1945,65,0.027602978748797895,0.027602978748797895
medium,medium,1950,65,0.026009119255706453,0.02548717857956395
medium,medium,1955,65,0.026273688962732578,0.02420541692801841
medium,medium,1960,65,0.024082072545087322,0.019983532382799617
medium,medium,1965,65,0.02431985432097946,0.018094564344944407
medium,medium,1970,65,0.025099411289940594,0.016793919258617826
medium,medium,1975,65,0.025669042513357023,0.016884599316696666
medium,medium,1980,65,0.027105698160768774,0.017872992182684726
medium,medium,1985,65,0.027264064160974866,0.017410073613349827
medium,medium,1990,65,0.027166538711993593,0.01667627548789282
medium,medium,1995,65,0.027955764854289883,0.017081356973530328
medium,medium,2000,65,0.027755086162582918,0.016563921256009816
medium,medium,2005,65,0.027621871108168678,0.016327395723084205
medium,medium,2010,65,0.027561993611299844,0.01634585414953465
medium,high,1930,65,0.034082529148150846,0.034082529148150846
medium,high,1935,65,0.03004854366980296,0.03004854366980296
medium,high,1940,65,0.028474610938214566,0.028474610938214566
medium,high,1945,65,0.02374368725967345,0.02374368725967345
medium,high,1950,65,0.02225698426802706,0.021710709006375756
medium,high,1955,65,0.02256334561357657,0.02041854822446035
medium,high,1960,65,0.020380800707313584,0.016171211177184557
medium,high,1965,65,0.020680156968205854,0.014350899718456968
medium,high,1970,65,0.021472188412441032,0.013096202573830637
medium,high,1975,65,0.022044798236192997,0.013182111446689512
medium,high,1980,65,0.023520335933783994,0.014207270212126881
medium,high,1985,65,0.02366366088999772,0.013724590391616068
medium,high,1990,65,0.023557140761335076,0.012980215912534647
medium,high,1995,65,0.024400302288434275,0.013448144526925523
medium,high,2000,65,0.024203870130639193,0.012940551556621905
medium,high,2005,65,0.02407637297293715,0.012718694056682451
medium,high,2010,65,0.024021003050094948,0.012748978983299577
medium,max,1930,65,0.03125841409960214,0.03125841409960214
medium,max,1935,65,0.02682563060371718,0.02682563060371718
medium,max,1940,65,0.024591626698652683,0.024591626698652683
medium,max,1945,65,0.018732780096763556,0.018732780096763556
medium,max,1950,65,0.016398619184571594,0.015813546668855833
medium,max,1955,65,0.015785222906729953,0.013540290928551857
medium,max,1960,65,0.013175560292209497,0.00888587777236968
medium,max,1965,65,0.013248899259229193,0.0069412414457299424
medium,max,1970,65,0.013900266826526907,0.005698129712575712
medium,max,1975,65,0.014373048854568282,0.005694051966036149
medium,max,1980,65,0.01580450740210455,0.006709646363515227
medium,max,1985,65,0.016009278509343826,0.0062901543101958396
medium,max,1990,65,0.01599460383515355,0.00563399729424525
medium,max,1995,65,0.01695962359779958,0.006237309438893102
medium,max,2000,65,0.016780052221418235,0.005757901824069101
medium,max,2005,65,0.016580120549336125,0.0054977596827357565
medium,max,2010,65,0.016483332892736312,0.005505598798154554
high,none,1930,65,0.032026774915443236,0.032026774915443236
high,none,1935,65,0.027637415087583175,0.027637415087583175
high,none,1940,65,0.02587033823513321,0.02587033823513321
high,none,1945,65,0.021071545895282977,0.021071545895282977
high,none,1950,65,0.019662309657267663,0.019098911452087457
high,none,1955,65,0.0199985391221402,0.017799508604573893
high,none,1960,65,0.017819245999412172,0.013531332333962462
high,none,1965,65,0.0181634509440783,0.01176148536335581
high,none,1970,65,0.018964000557660052,0.010538076983353028
high,none,1975,65,0.01953806889307122,0.010620098636742466
high,none,1980,65,0.021041834600331332,0.011672509504050927
high,none,1985,65,0.02117501178542364,0.011176870035538428
high,none,1990,65,0.021062468534052293,0.010424891695201827
high,none,1995,65,0.021944390889073247,0.010938025476569753
high,none,2000,65,0.021750979014909678,0.010437396218648897
high,none,2005,65,0.021627366066524847,0.010225652504343334
high,none,2010,65,0.02157506462519077,0.01026406917521428
high,very_low,1930,65,0.041157637315017544,0.041157637315017544
high,very_low,1935,65,0.036629378533351076,0.036629378533351076
high,very_low,1940,65,0.03476802516474619,0.03476802516474619
high,very_low,1945,65,0.02992859676539672,0.02992859676539672
high,very_low,1950,65,0.02830355763411629,0.027795830400833586
high,very_low,1955,65,0.028541897508040412,0.02651897228533858
high,very_low,1960,65,0.026153015758805024,0.022115716921275792
high,very_low,1965,65,0.026439189875786515,0.020274231887060557
high,very_low,1970,65,0.027217640927506417,0.01895294994167091
high,very_low,1975,65,0.02779216653535289,0.019053250400807093
high,very_low,1980,65,0.029207715837623688,0.020021736448454768
high,very_low,1985,65,0.029378536137696913,0.019573931380234867
high,very_low,1990,65,0.02928415535632148,0.018844518691964785
high,very_low,1995,65,0.03004464898333202,0.01921554009975482
high,very_low,2000,65,0.029841315951137093,0.01869236764982924
high,very_low,2005,65,0.029703387754565012,0.01844584923725053
high,very_low,2010,65,0.029641020925359817,0.01845759348250019
high,low,1930,65,0.037065667414369265,0.037065667414369265
high,low,1935,65,0.03288227281178881,0.03288227281178881
high,low,1940,65,0.03124623084804791,0.03124623084804791
