worker_type,spouse_type,birth_yr,claim_age,age,year,earnings,tax,pv_ben_through_t_sched,delta_pv_ben_sched,net_tax_sched,pv_ben_through_t_pb,delta_pv_ben_pb,net_tax_pb
high,high,1940,65,27,1967,5833.83936,455.03947008,600810.7336184802,0,0.078,600810.7336184802,0,0.078
high,high,1940,65,28,1968,6674.9684800000005,507.29760448000013,600810.7336184802,0,0.07600000000000001,600810.7336184802,0,0.07600000000000001
high,high,1940,65,29,1969,7467.3939199999995,627.26108928,600810.7336184802,0,0.084,600810.7336184802,0,0.084
high,high,1940,65,30,1970,8221.51296,655.2,816495.4753637873,215684.7417453071,-1.1725062224756664,816495.4753637873,215684.7417453071,-1.1725062224756664
high,high,1940,65,31,1971,8998.4558,717.6,827673.3208070099,11177.845443222672,0.016897512337982493,827673.3208070099,11177.845443222672,0.016897512337982493
high,high,1940,65,32,1972,10237.003,828,839299.5463683534,11626.225561343483,0.02003122137705266,839299.5463683534,11626.225561343483,0.02003122137705266
high,high,1940,65,33,1973,11211.05664,1047.6,852558.9073357611,13259.360967407702,0.02589104114555479,852558.9073357611,13259.360967407702,0.02589104114555479
high,high,1940,65,34,1974,12198.72444,1207.67371956,866554.3467562513,13995.439420490176,0.028555760250745847,866554.3467562513,13995.439420490176,0.028555760250745847
high,high,1940,65,35,1975,13412.44968,1327.83251832,880967.0442553832,14412.6974991319,0.02813777051230934,880967.0442553832,14412.6974991319,0.02813777051230934
high,high,1940,65,36,1976,14614.74432,1446.85968768,895664.2254342868,14697.181178903556,0.02797521160868428,895664.2254342868,14697.181178903556,0.02797521160868428
high,high,1940,65,37,1977,15744.898400000002,1558.7449416000002,910510.9561092098,14846.730674923048,0.027674051492540364,910510.9561092098,14846.730674923048,0.027674051492540364
high,high,1940,65,38,1978,17248.55302,1742.1038550200003,925687.2298327623,15176.27372355247,0.028989415843474888,925687.2298327623,15176.27372355247,0.028989415843474888
high,high,1940,65,39,1979,18987.02684,1929.0819269439999,940986.2554686235,15299.02563586121,0.0296525494957032,940986.2554686235,15299.02563586121,0.0296525494957032
high,high,1940,65,40,1980,20935.01858,2126.997887728,956499.0334463124,15512.777977688937,0.028157440046712306,956499.0334463124,15512.777977688937,0.028157440046712306
high,high,1940,65,41,1981,23262.765900000002,2489.1159513000007,972064.2040354805,15565.17058916809,0.03186297006196643,972064.2040354805,15565.17058916809,0.03186297006196643
high,high,1940,65,42,1982,24732.34068,2671.0927934400006,987779.1361119818,15714.93207650131,0.027514457224260908,987779.1361119818,15714.93207650131,0.027514457224260908
